University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score
1,University of Oxford,United Kingdom,"20,965",0.0440034512510785,42%,48 : 52,96.4,0.9699519230769228,1.0,0.9899193548387096,0.602218700475436,0.9591121495327104
2,Harvard University,United States,"21,887",0.0396893874029335,25%,50 : 50,95.2,1.0,0.9924160346695556,0.9929435483870968,0.1996830427892234,0.7757009345794392
3,University of Cambridge,United Kingdom,"20,185",0.0470232959447799,39%,47 : 53,94.8,0.953125,0.9978331527627304,0.969758064516129,0.2741679873217116,0.9544392523364488
3,Stanford University,United States,"16,164",0.0289042277825711,24%,46 : 54,94.8,0.9927884615384616,0.9674972914409536,0.997983870967742,0.4453248811410459,0.7675233644859814
5,Massachusetts Institute of Technology,United States,"11,415",0.0336496980155306,33%,40 : 60,94.2,0.9507211538461536,0.933911159263272,0.997983870967742,0.855784469096672,0.8785046728971964
6,California Institute of Technology,United States,"2,237",0.0250215703192407,34%,37 : 63,94.1,0.953125,0.970747562296858,0.972782258064516,0.8383518225039619,0.8119158878504673
7,Princeton University,United States,"8,279",0.0327868852459016,23%,46 : 54,92.4,0.9134615384615384,0.9588299024918744,0.9909274193548386,0.4611727416798732,0.7733644859813085
8,"University of California, Berkeley",United States,"40,921",0.0776531492666091,24%,52 : 48,92.1,0.8990384615384617,0.9577464788732394,0.9899193548387096,0.6323296354992076,0.7511682242990654
9,Yale University,United States,"13,482",0.0237273511647972,21%,52 : 48,91.4,0.9735576923076924,0.924160346695558,0.969758064516129,0.2868462757527733,0.6635514018691588
10,Imperial College London,United Kingdom,"18,545",0.0465918895599654,61%,40 : 60,90.4,0.8557692307692307,0.9035752979414952,0.9828629032258064,0.3629160063391442,0.9742990654205608
11,Columbia University,United States,"21,781",0.0176876617773943,38%,58 : 42,89.4,0.935096153846154,0.8699891657638137,0.970766129032258,0.1251980982567353,0.7686915887850467
11,ETH Zurich,Switzerland,"21,665",0.0621225194132873,41%,33 : 67,89.4,0.8533653846153845,0.9534127843987,0.90625,0.3518225039619651,0.9766355140186918
13,The University of Chicago,United States,"15,366",0.0241587575496117,36%,47 : 53,88.9,0.9002403846153846,0.8819068255687974,0.9768145161290324,0.3058637083993661,0.7021028037383177
14,University of Pennsylvania,United States,"21,453",0.0254529767040552,23%,53 : 47,88.8,0.8942307692307692,0.8819068255687974,0.969758064516129,0.6164817749603804,0.6705607476635513
15,Johns Hopkins University,United States,"17,584",0.0185504745470233,29%,53 : 47,88.3,0.8149038461538461,0.9111592632719392,0.969758064516129,0.8335974643423139,0.7149532710280373
16,Tsinghua University,United States,"38,324",0.0483175150992234,10%,58 : 42,88.2,0.9435096153846152,0.9750812567713976,0.8790322580645161,1.0,0.3060747663551401
17,Peking University,United States,"31,994",0.042709232096635,19%,58 : 42,88.1,0.9723557692307692,0.9674972914409536,0.8024193548387097,0.8700475435816164,0.594626168224299
18,University of Toronto,Canada,"77,468",0.1095772217428818,26%,56 : 44,87.4,0.7896634615384615,0.9306608884073672,0.9274193548387096,0.4532488114104596,0.8831775700934581
